state,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,UP,RIGHT,DOWN,LEFT,WAIT,BOMB,best_action,best_q_value
"('BOMBING', 'UP', 3, 'UNSAFE', 'UNNECESSARY', 'NONE')",BOMBING,UP,3,UNSAFE,UNNECESSARY,NONE,1.0861039,0.0865165,-0.101,-0.27371,0.0,-0.85486865,UP,1.0861039
"('BOMBING', 'UP', 3, 'UNSAFE', 'UNNECESSARY', 'LEFT')",BOMBING,UP,3,UNSAFE,UNNECESSARY,LEFT,0.017099999,-0.036,0.0,-0.101,-0.051,-0.83762944,UP,0.017099999
"('BOMBING', 'LEFT', 8, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",BOMBING,LEFT,8,GOOD_HIGH,UNNECESSARY,RIGHT,-0.101,-0.08127757,-0.17989984,-0.016,-0.10166211,1.6365799,BOMB,1.6365799
"('ESCAPE', 'LEFT', 8, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",ESCAPE,LEFT,8,UNAVAILABLE,UNNECESSARY,BOMB,-0.46894,-1.095087,-0.12767732,1.5771408,0.054570466,0.25995958,LEFT,1.5771408
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",ESCAPE,UP,1,UNAVAILABLE,UNNECESSARY,LEFT,0.9765311,-1.1509035,-0.025946133,-0.18526405,-0.025438018,0.06451989,UP,0.9765311
"('ESCAPE', 'UP', 1, 'UNAVAILABLE', 'UNSAFE', 'RIGHT')",ESCAPE,UP,1,UNAVAILABLE,UNSAFE,RIGHT,1.9813833,-6.369821,-5.342722,-5.75968,-2.7496762,-4.5060616,UP,1.9813833
"('BOMBING', 'LEFT', 9, 'UNSAFE', 'UNNECESSARY', 'NONE')",BOMBING,LEFT,9,UNSAFE,UNNECESSARY,NONE,0.2530974,-0.16204026,-0.101,1.0587001,-0.051,-0.50109,LEFT,1.0587001
"('BOMBING', 'LEFT', 10, 'GOOD_LOW', 'UNNECESSARY', 'LEFT')",BOMBING,LEFT,10,GOOD_LOW,UNNECESSARY,LEFT,-0.33664513,-0.03153184,-0.34309617,1.1463616,-0.08980641,0.26387757,LEFT,1.1463616
"('BOMBING', 'LEFT', 10, 'GOOD_LOW', 'UNNECESSARY', 'UP')",BOMBING,LEFT,10,GOOD_LOW,UNNECESSARY,UP,-0.101,-0.011,-0.10019,0.4971799,-0.05019,-0.001,LEFT,0.4971799
"('ESCAPE', 'RIGHT', 2, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",ESCAPE,RIGHT,2,UNAVAILABLE,UNNECESSARY,BOMB,-0.19368859,0.89414024,-0.011105098,-2.4190116,-0.060633782,0.28805825,RIGHT,0.89414024
"('ESCAPE', 'RIGHT', 2, 'UNAVAILABLE', 'UNNECESSARY', 'DOWN')",ESCAPE,RIGHT,2,UNAVAILABLE,UNNECESSARY,DOWN,-0.8090584,1.7626364,-0.08073687,0.15205476,0.2978144,0.0072695557,RIGHT,1.7626364
"('ESCAPE', 'RIGHT', 2, 'UNAVAILABLE', 'UNSAFE', 'DOWN')",ESCAPE,RIGHT,2,UNAVAILABLE,UNSAFE,DOWN,-3.6568007,1.6926863,-0.12475731,-1.7949262,-1.4585111,0.0,RIGHT,1.6926863
"('ESCAPE', 'NONE', 0, 'UNAVAILABLE', 'UNSAFE', 'UP')",ESCAPE,NONE,0,UNAVAILABLE,UNSAFE,UP,-9.512296,-9.340053,-9.381461,-9.531286,-9.411405,-9.699377,RIGHT,-9.340053
